human_accession,Adenoviridae,Anelloviridae,Arenaviridae,Arteriviridae,Astroviridae,Birnaviridae,Bornaviridae,Caliciviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Herpesviridae,Kolmioviridae,Matonaviridae,Nairoviridae,Nodaviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Parvoviridae,Peribunyaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Poxviridae,Reoviridae,Retroviridae,Rhabdoviridae,Tobaniviridae,Togaviridae
O95630,4,0,0,0,0,0,0,1,0,0,1,0,1,0,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0
O95747,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,3,0,0,0,0,1,0,0,4,0,2,0,0,0
O95817,3,1,2,0,0,0,0,3,13,17,5,0,0,1,61,0,9,0,0,0,1,11,2,0,0,0,0,0,0,4,6,25,34,0,2
O96018,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
P00519,2,0,0,2,0,0,0,0,1,0,4,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,10,1,0,4,7,2,0,0,4
P02549,1,0,0,0,0,0,0,0,0,0,11,0,2,5,4,0,0,0,0,91,0,4,0,0,1,0,4,0,0,0,0,39,0,0,5
P06241,2,8,0,0,0,0,0,1,1,5,2,0,0,6,44,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,18,0,0,2
P06730,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07900,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
P07947,3,8,0,0,0,0,0,1,1,0,2,0,0,5,49,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,19,0,0,3
P08238,1,0,0,0,0,0,0,1,1,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
P08567,1,0,0,0,0,0,0,0,0,0,3,0,31,0,10,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P09012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0CG48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0DP23,7,0,0,0,0,0,0,2,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
P0DP24,5,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1
P11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P11532,3,0,0,0,0,0,0,0,1,11,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
P11940,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
P12814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,202,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
P12931,1,3,0,0,0,0,0,0,1,0,3,0,7,1,30,0,0,7,0,1,1,2,0,0,0,0,2,1,0,1,0,7,0,0,3
P13861,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
P15311,1,0,0,0,9,1,0,10,42,0,5,0,2,1,15,0,0,2,0,277,7,29,0,0,1,0,14,7,0,2,8,5,16,1,10
P15735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P15927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P16333,1,0,0,0,1,0,2,0,0,0,2,0,0,0,14,0,0,0,0,4,2,0,0,0,0,0,5,0,0,1,0,3,1,0,1
P18206,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P18615,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P20393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P23284,3,0,0,0,0,0,0,0,13,2,0,0,2,0,11,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,1,0,1,0,2
P25685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P26038,0,0,0,0,4,1,0,12,25,0,6,0,9,0,13,0,0,1,0,278,14,13,0,0,1,0,21,8,0,4,2,4,15,0,9
P26196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
P26368,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P26599,0,0,0,1,0,0,0,1,0,0,0,0,24,1,2,1,10,0,0,0,3,0,0,0,0,1,8,0,0,8,0,2,0,0,0
P27361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P27986,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,0,7,0,0,0,5,0,0,0,0,0,1,0,0,5,0,1,0,0,3
P28482,0,0,0,1,0,0,0,0,0,6,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P29353,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,0,1,2,0,1
P30414,0,0,2,0,0,0,0,0,1,1,2,0,4,0,18,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,2,0,0
P31483,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31948,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31949,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P33240,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P33981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
P35240,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P35241,0,0,0,0,9,0,0,13,46,6,6,0,8,2,21,0,0,1,0,287,15,41,0,0,2,0,15,8,1,11,5,41,18,0,15
P35269,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P35568,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P36873,0,0,0,0,1,0,0,1,0,0,0,0,0,5,4,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P37231,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P40818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P42566,4,0,0,0,0,0,0,2,1,0,5,0,0,10,6,0,0,0,0,3,2,7,0,0,0,0,0,1,0,7,1,4,0,2,0
P43487,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P45973,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P45983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,2,0,1,0
P46108,5,2,1,9,0,0,2,1,2,1,4,0,0,0,30,0,0,0,0,52,3,4,0,0,0,0,0,0,0,0,0,4,1,0,0
P46934,37,2,4,0,0,0,0,5,0,52,1,0,0,0,147,0,13,0,0,0,2,8,4,0,0,0,3,0,0,12,16,34,110,0,1
P46937,23,3,2,0,0,0,0,2,0,24,1,0,0,0,73,0,2,0,0,0,0,3,2,0,0,0,3,0,2,9,13,17,64,0,1
P48730,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P49792,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3
P50552,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
P51114,9,0,0,0,0,0,0,1,1,1,7,0,4,0,49,5,0,0,0,17,16,12,0,1,0,0,9,1,6,2,1,23,1,0,19
P51116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
P51610,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P52948,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P54274,2,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
P54762,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P55072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
P55196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2
P55884,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P57105,0,0,0,0,0,0,0,2,0,0,4,0,1,1,7,0,0,0,0,24,5,0,0,0,0,0,20,1,0,0,3,2,3,0,2
P60484,2,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
P60520,1,0,0,1,6,0,0,1,8,0,5,0,0,0,12,0,0,0,0,1,45,0,0,0,1,1,8,0,0,7,6,1,7,0,2
P60660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P61011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,3
P61964,0,0,0,0,0,0,0,2,0,0,0,0,6,0,7,0,4,0,0,1,3,9,0,0,0,0,0,0,0,4,0,0,6,0,3
P62136,0,0,0,0,2,0,0,4,22,1,4,0,33,0,25,0,0,0,0,0,26,16,0,0,3,0,2,4,2,0,0,12,1,0,0
P62837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P62937,0,1,2,1,0,0,0,0,5,4,1,0,0,0,6,0,15,0,0,0,11,0,0,0,0,1,11,6,0,0,0,3,0,0,0
P62942,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P62993,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
P63010,0,0,0,0,1,0,0,1,0,7,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,1
P63165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
P63167,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
P68400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P78352,0,0,0,0,0,0,0,0,0,3,0,0,16,0,9,0,0,0,0,0,10,0,0,0,1,0,7,0,0,0,0,5,0,0,1
P83876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
P83916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P84103,6,2,0,1,1,0,0,0,7,3,15,1,14,3,52,4,1,0,0,6,24,12,0,0,0,0,13,2,0,14,3,4,0,2,3
Q00610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4
Q00688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Q00987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q05397,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Q06187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q06787,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Q07157,0,0,0,0,0,0,0,0,1,3,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,6,0,0,0
Q07866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q07869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q07955,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q08AE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Q12923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q12929,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Q13148,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q13185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Q13257,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
Q13285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Q13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q13526,2,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q13617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q13882,1,1,0,0,0,0,2,0,0,0,6,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Q14005,0,0,0,0,0,0,0,0,1,3,6,0,16,0,6,0,2,0,0,0,6,0,0,0,0,0,8,0,0,2,0,1,2,0,1
Q14145,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q14155,2,0,0,0,0,0,0,0,0,0,1,0,0,4,16,0,11,1,0,0,5,1,1,0,0,0,0,0,0,0,0,6,2,0,6
Q14160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Q14498,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q14511,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Q14527,1,4,0,0,1,0,0,0,0,1,6,0,0,0,30,0,1,1,0,8,21,3,0,0,0,0,0,1,2,0,0,2,1,0,5
Q14847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,4
Q14995,1,0,0,0,4,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Q15036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q15287,1,0,0,0,0,0,0,6,1,0,0,0,0,0,17,0,0,0,0,0,2,5,0,0,0,0,8,0,0,5,4,5,2,0,0
Q15326,3,0,0,0,0,0,0,0,3,0,1,0,0,0,32,0,0,0,0,0,2,6,0,0,0,0,3,0,1,0,0,0,1,0,4
Q15365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0
Q15366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Q15370,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q15406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Q15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q15700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Q15717,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q15811,0,0,0,0,1,0,1,1,6,10,7,0,0,1,15,0,3,3,0,145,1,10,0,0,0,0,24,2,0,2,0,36,1,0,6
Q15843,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q16644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53EZ4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Q53GL7,1,0,0,0,0,0,0,0,8,0,2,0,8,0,20,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,1,1,0,0,0
