,Nairoviridae,Poxviridae,Rhabdoviridae,Pneumoviridae,Togaviridae,Nodaviridae,Reoviridae,Hepeviridae,Orthomyxoviridae,Anelloviridae,Hepadnaviridae,Adenoviridae,Polyomaviridae,Matonaviridae,Bornaviridae,Picobirnaviridae,Papillomaviridae,Peribunyaviridae,Astroviridae,Hantaviridae,Arteriviridae,Arenaviridae,Flaviviridae,Filoviridae,Herpesviridae,Paramyxoviridae,Birnaviridae,Parvoviridae,Phenuiviridae,Tobaniviridae,Picornaviridae,Coronaviridae,Retroviridae,Caliciviridae,Kolmioviridae
PABP-B_PABP__P11940_544_623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6333333333333333,0.0,0.0,0.0,0.0,0.0
PTK6_SH3__Q13882_11_71,0.0,0.0,0.0,0.0,0.0582120582120582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHANK1_PDZ__Q9Y566_655_761,0.0,0.0835820895522388,0.0,0.0,0.0,0.0,0.6282051282051281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1658767772511845,0.038433382137628,0.13043478260869562,0.0,0.0,0.0,0.0,0.0808080808080808,0.3761194029850746,0.0,0.0,0.0
PHKG2_Pkinase__P15735_6_293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580135440180585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMYND11_coiled-coil-MYND__Q15326_480_602,0.0,0.0,0.0155728587319242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002386634844868,0.49999999999999983,0.0,0.0,0.0,0.0277227722772276,0.0,0.0,0.0,0.0,0.0,0.0459518599562361,0.0,0.1631463947560086,0.1690140845070422,0.0,0.0,0.0,0.0,0.0297029702970297,0.0307017543859649,0.0,0.0,0.0
CPEB1_RRM__Q9BZB8_294_514,0.0,0.0,0.0806451612903224,0.0,0.0,0.0,0.0750670241286862,0.0,0.0,0.0,0.0,0.036082474226804,0.0,0.0,0.0,0.0,0.0071501532175689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206261510128912,0.0,0.0,0.0,0.0,0.0,0.0,0.5359877488514545,0.0154867256637168,0.0,0.0
TJP2_PDZ_1_Q9UDY2_24_128,0.0,0.0,0.0,0.0,0.1545253863134655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0351758793969849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOPC_PDZ__Q9HD26_278_373,0.0,0.0,0.0,0.0,0.0,0.0,0.038781163434903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253623188405797,0.0,0.0155382907880133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP1LC3C_ATG8__Q9BXW4_2_125,0.0,0.0377358490566037,0.0608034744842562,0.0,0.0266666666666666,0.0,0.1150234741784037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075268817204301,1.9467054263565895,0.0,0.4468085106382977,0.0,0.0,0.0,0.0,0.0,0.0151734104046242,0.0,0.0,0.0,0.0,0.0,0.0,0.0198300283286119,0.0,0.0255474452554744,0.2204724409448816
DLG4_PDZ_2_P78352_155_249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5377574370709384,0.0,0.0,0.0,0.0,0.0,0.1391650099403578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0
EPHB1_Pkinase__P54762_602_896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7188264058679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITCH_WW_2_Q96J02_356_394,0.0,0.1948955916473316,1.498470948012232,0.0,0.0,0.0,0.604938271604938,0.0284552845528455,0.0,0.0,0.0,1.0758483033932138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435897435897436,0.0,0.9410150891632372,0.8143564356435642,0.0483592400690846,0.0,0.5975609756097555,0.0,0.0,0.0,0.0,0.1789577187807276,0.1676646706586826,0.0
VAPA_MSP__Q9P0L0_8_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366492146596855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNPO2L_PDZ__Q9H987_1_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026002971768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Src_SH3__P12931_87_144,2.3058823529411763,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.1818181818181816,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2118918918918916,0.0,0.0
MAGI1_PDZ_4_Q96QZ7_836_925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031168831168830898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015837104072398,0.0,0.0
MK01_Pkinase-merged__P28482_1_360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3456790123456788,0.0,0.0,0.1383855024711696,0.0206947524020694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078212290502793,0.0,0.0
LRH1_Hormone-recep__O00482_297_541,0.0,0.208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210843373493975,0.0,0.0,3.000000000000001,0.0,0.0,0.0790067720090293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNMBP_SH3_6_Q6XZF7_1516_1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341463414634146,0.0,0.3656716417910448,0.0,0.0,0.0209790209790209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639386189258312,0.0,0.0,0.0,0.0,0.0,0.0401146131805157,0.0,0.0151187904967602,0.0,0.0
PSMD9_PDZ__O00233_105_223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,0.0696517412935322,0.0,0.0,0.0,0.0,0.0,0.0,0.2639517345399695,0.0,0.0078563411896745,0.0,0.0
NCK1_SH3_1_P16333_5_60,0.0,0.0,0.0,0.0,0.0144628099173553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8846153846153846,0.0,0.0282542885973762,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRD4_NET__O60885_601_683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837675350701402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX9_SH3_1_Q9Y5X1_3_61,0.0,0.0,0.0,0.0,0.0,0.0,0.920547945205479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09309198374584379,0.0,0.0,0.0,0.0,0.0,0.0,0.0108527131782945,0.0,0.0,0.0
MAGI3_PDZ_5_Q5TCQ9_847_941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6693227091633461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI3_PDZ_4_Q5TCQ9_716_815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16055045871559598,0.0,0.0,0.0,0.0
HLTF_HIRAN__Q14527_51_171,0.275590551181102,0.0,0.0075187969924812,0.0,0.0,0.0,0.0,0.0,0.0,0.880503144654088,0.0,0.0155210643015521,0.2413793103448276,0.0,0.0,0.0,0.2821497120921304,0.0,0.0,0.0,0.0,0.0,0.0,0.0103092783505154,0.0755939524838013,0.0396975425330812,0.0,0.0,0.0,0.0,0.0,0.0,0.057911065149948,0.0,0.0
PARD3_PDZ_2_Q8TEW0_454_550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037940379403794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007909604519774,0.0,0.0
MYL_x2-EF-hand__P60660_4_151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051967334818114,0.078651685393258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPW_Cyclophilin-type-PPIase__Q96BP3_486_646,0.0,0.3103448275862067,0.2562761506276146,0.0,0.0,0.0,0.10629067245119261,0.0,0.0,0.0,0.0,0.926470588235294,0.0,0.0,0.0,0.0,0.0393626991565135,0.0,0.0,0.0,0.0,0.0823529411764704,0.0,0.41761363636363624,0.6468069925080268,0.0,0.0,0.0,0.0,0.0,0.1465968586387434,0.0283400809716599,0.0705645161290322,0.0453074433656956,0.0
RBM_RRM-1__Q96I25_298_401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689008042895441,0.0,0.0,0.0,0.0,0.0072614107883817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155555555555553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078740157480314,0.611650485436893,0.0
MAP1LC3A_ATG8__Q9H492_2_121,0.0,0.0323325635103926,0.0427263479145473,0.0,0.0477001703577512,0.0,0.0573770491803278,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1806451612903226,0.0451612903225806,2.4186471663619744,0.0,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0643109540636042,0.0,0.0,0.0,0.0,0.0,0.0088495575221238,0.1002604166666666,0.0,0.0416666666666666,0.8888888888888888
RDX_FERM_1_P35241_5_295,0.0,0.0891203703703703,0.0891089108910891,0.0869565217391304,0.1031434184675835,0.0,0.0380848748639825,0.0206185567010309,4.173822714681441,0.0,0.0585774058577405,0.0,0.011686143572621,0.0,0.0,0.0,0.0688524590163934,0.0,0.092511013215859,0.0,0.0,0.0,0.0432098765432098,0.036144578313253,0.0450781968721251,1.7015810276679841,0.0,0.0,0.0236087689713322,0.0,0.25777414075286403,1.3427856547122599,0.1979310344827586,0.35593220338983034,0.0
CBX1_CHROMO-Shadow__P83916_105_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077951002227171,0.0,0.0,0.0,0.0,0.0,0.0427480916030532,0.0,0.0,0.0,0.0
ANKRA2_Ank__Q9H9E1_142_313,0.0,0.0,0.0,0.0,0.0608695652173912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210843373493974,0.21840873634945399,0.0,0.0,0.0
REV1_CTD__Q9UBZ9_1156_1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.814814814814814,0.0,0.0,0.0,0.0,0.0
VRK3_Pkinase__Q8IV63_146_474,0.0,0.0,0.0,0.5526315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346534653465346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010703363914373,0.0,0.0,0.0,0.0
MPP3_PDZ__Q13368_124_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026002971768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSTF2_RRM_1_P33240_8_111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936758893280632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426356589147284,0.0,0.0,0.0
PPM1G___O15355__,0.0,0.0,0.0246768507638072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025945144551519,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,0.0,0.0,0.0
GABARAP_ATG8__O95166_2_115,0.0,0.0321100917431192,0.063894523326572,0.0,0.10677966101694901,0.0,0.0,0.0,0.056910569105691,0.0,0.0,0.0,0.0,0.0,0.0,0.0443037974683544,1.7994530537830447,0.0,0.5533596837944664,0.0,0.0336538461538461,0.0,0.0643382352941176,0.0,0.0247087892693258,0.0,0.0,0.0,0.0424242424242424,0.0,0.017632241813602,0.0544747081712062,0.2328767123287671,0.0412979351032448,0.0
GRIP1_PDZ_6_Q9Y3R0_666_762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16055045871559598,0.0,0.0,0.0,0.0
PIK3R1_SH3_1_P27986_6_78,0.0,0.3115727002967358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701402805611222,0.0,0.0,0.8235294117647057,0.0,0.0,0.0157303370786516,0.0,0.0512070226773957,0.0,0.0,0.0,0.0,0.0,0.0100719424460431,0.0,0.0075839653304442,0.0,0.0
Keap1_KELCH__Q14145_321_609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101449275362317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRED1_EVH1__Q7Z699_13_131,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,1.2696897374701668,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0204878048780487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811300253531328,0.02734375,0.0,0.2886597938144328,0.0,0.0,0.0484764542936288,0.0,0.0,0.0,0.0
APBB1_WW__O00213_251_289,0.0,0.28925619834710725,0.3220153340635266,0.0,0.0,0.0,0.11722488038277448,0.0,0.0,0.0,0.0,0.3394919168591223,0.0,0.0,0.0,0.0,0.0341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.59304084720121,0.3905797101449271,0.1917808219178082,0.0,0.0,0.0,0.0,0.0194174757281553,0.0,0.0737618545837724,0.0,0.0
FXR1_KH1-KH2_12_P51114_215_360,0.0,0.0309050772626931,0.0069790628115653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204588910133843,1.5638297872340423,0.0,0.0,0.0,0.1885098743267504,0.0,0.0,0.0,0.0,0.0,0.2620320855614973,0.0093209054593874,0.1031578947368421,0.0815307820299501,0.0,0.0,0.0,0.0,0.0776818742293464,0.0088832487309644,0.1482194417709336,0.0196629213483146,0.3349282296650718
YWHAB_14-3-3_beta-alpha_P31946_1_246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906735751295335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRMPD2_PDZ__Q68DX3_1073_1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16055045871559598,0.0,0.0,0.0,0.0
PLEK_DEP__P08567_120_231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118143459915611,0.0,3.468036529680365,0.0,0.0,0.0,0.0,0.0,0.0139026812313803,0.0,0.0,0.0,0.0,0.0,0.0462555066079295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSG101_UEV__Q99816_1_145,0.0,0.0,0.1132457027300302,0.0,0.0,0.0,0.340080971659919,2.811023622047244,0.0,0.0,0.0,0.0550098231827112,0.0,0.0,0.0,0.0,0.0381818181818181,0.0,0.0,0.0,0.0,0.2413793103448276,0.0,0.0379918588873812,0.0987306064880112,0.0,0.0,0.0,0.0,0.1249999999999998,0.0439146800501882,0.0,2.8204878048780486,0.0204678362573099,0.0
NEDD4_WW_1_P46934_608_646,0.0,0.0,0.43348623853210977,0.0,0.0,0.0,0.11140583554376642,0.0,0.0,0.0,0.0,0.5357142857142853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40645161290322546,0.10812798823096678,0.029787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCL_Vinc__P18206_1_258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072916666666666,0.0,0.0,0.0,1.1830985915492958,0.0,0.0,0.0,0.0,0.0313199105145413,0.0,0.0,0.0,0.0,0.0,0.0110410094637223,0.0,0.0,0.0
NEDD4_WW_2_P46934_765_803,0.0,0.1761006289308174,1.6699123661148978,0.0,0.0,0.0,0.921052631578947,0.0,0.0,0.0,0.0,1.2541133455210236,0.0,0.0,0.0,0.0,0.0061511423550087,0.0,0.0,0.0,0.0,0.1161825726141078,0.0,1.5174193548387096,1.005915100904662,0.0224,0.0,0.4666666666666662,0.0,0.0,0.0083832335329341,0.0,0.1843838193791156,0.0736842105263158,0.0
CD2AP_SH3_1_Q9Y5K6_2_58,0.0,0.0,0.0,0.0,1.6386036960985626,0.0,0.0,0.0472972972972973,0.0,0.063063063063063,0.0,0.0,0.0,0.0,0.0,0.0,0.0140845070422534,0.0,1.4000000000000001,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOK4_PTB__Q8TEW6_130_237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1014492753623188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6153846153846154,0.0,0.0,0.0,0.0,0.0
IPO4_Heat_1_Q8TEX9_668_1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366492146596855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP3_FKBP-C__Q00688_109_224,0.0,0.0,0.0,0.0,0.0,0.0,0.0991501416430595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051948051948051494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI1_WW_2_Q96QZ7_357_395,0.0,0.2470588235294115,0.11011235955056119,0.0,0.0,0.0,0.1240506329113919,0.0,0.0,0.0,0.0,0.47804878048780447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8448275862068966,0.3938618925831199,0.0286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,0.0302375809935204,0.0,0.0
